"Image ID","Archive filename","Visible product/service title","Classification","Recommended existing category","Local development catalogue candidates (not production)","Review / duplicate note","Production duplicate check","Production upload status"
"042","a_clean_high_resolution_marketing_advertising_bro.png","Advertising Solutions","Non-product service image","","","General advertising-services graphic, not a specific product.","N/A","Excluded"
"043","a_clean_infographic_style_promotional_poster_banne.png","Printing & Branding","Non-product service/brand image","","","General service/brand graphic, not a specific product.","N/A","Excluded"
"044","a_clean_modern_advertising_infographic_layout_abo.png","Product Packaging","Product offering","Graphics Design","Product Packaging — Graphics Design","","Not checked — production Firebase access was declined","Not uploaded"
"045","a_clean_modern_advertising_poster_infographic_lay.png","Letterheads","Product offering","Offset Printing","Letterheads — Screen Printing; Letterheads — Offset Printing","letterheads (archive image IDs 045, 063; select/update an existing product rather than creating duplicates); The image explicitly says Offset Printing.","Not checked — production Firebase access was declined","Not uploaded"
"046","a_clean_modern_commercial_marketing_flyer_poster.png","Banner Printing","Product offering","Banner Printing","Banner Printing — Banner Printing","banner printing (archive image IDs 035, 046; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"047","a_clean_modern_marketing_poster_infographic_layou.png","Pamphlets","Product offering","Digital Printing","Pamphlets — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"048","a_clean_modern_professional_advertising_poster_f.png","Logo Design","Product offering","Graphics Design","Logo Design — Graphics Design","Specific design service offering; present in the local development catalogue.","Not checked — production Firebase access was declined","Not uploaded"
"049","a_clean_modern_promotional_infographic_poster_lay.png","Gloss Vinyl","Product offering","Solvent Flex","Gloss Vinyl — Solvent Flex","gloss vinyl (archive image IDs 011, 049; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"050","a_clean_polished_commercial_infographic_poster_im.png","Trophy Stickers","Product offering","Digital Printing","Trophy Stickers — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"051","a_clean_professional_advertising_catalog_style_in.png","Pixel LED","Product offering","Signage Board","Pixel LED — Signage Board","","Not checked — production Firebase access was declined","Not uploaded"
"052","a_clean_professional_advertising_poster_brochure.png","Wedding Cards","Product offering","Review: Digital, Offset, or Screen Printing","Wedding Cards — Screen Printing; Wedding Cards — Offset Printing","wedding cards (archive image IDs 018, 052, 069; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"053","a_clean_professional_advertising_poster_flyer_layo.png","Visiting Cards","Product offering","Review: Digital, Graphics Design, or Screen Printing","Visiting Cards — Digital Printing; Visiting Cards — Screen Printing; Visiting Cards — Graphics Design","visiting cards (archive image IDs 019, 053; select/update an existing product rather than creating duplicates); The local catalogue has this name in three categories.","Not checked — production Firebase access was declined","Not uploaded"
"054","a_clean_professional_advertising_poster_flyer_lay.png","Hotel Menus","Product offering","Digital Printing","Hotel Menus — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"055","a_clean_professional_advertising_product_poster_l.png","Acrylic Clip-on Boards","Product offering","Signage Board","Acrylic Clip-on Boards — Signage Board","","Not checked — production Firebase access was declined","Not uploaded"
"056","a_clean_professional_commercial_advertisement_po.png","LED Signage","Product offering","Signage Board","LED Signage — Signage Board","","Not checked — production Firebase access was declined","Not uploaded"
"057","a_clean_professional_high_detail_advertisement.png","Bill Book","Product offering","Digital Printing","Bill Book — Digital Printing","bill book (archive image IDs 013, 023, 057; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"058","a_clean_professional_infographic_poster_layout_ab.png","Canvas Printing","Product offering","Solvent Flex","Canvas — Solvent Flex","Local catalogue has a related entry named Canvas.","Not checked — production Firebase access was declined","Not uploaded"
"059","a_clean_professional_marketing_poster_brochure_st.png","Annual Reports","Product offering","Digital Printing","Annual Reports — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"060","a_clean_professional_promotional_brochure_printin.png","Brochures","Product offering","Review: Digital Printing or Graphics Design","Brochures — Digital Printing; Brochures — Graphics Design","brochures (archive image IDs 008, 024, 060; select/update an existing product rather than creating duplicates); Alternate image candidate; local catalogue has this name in both categories.","Not checked — production Firebase access was declined","Not uploaded"
"061","a_clean_professional_promotional_poster_infograph.png","UV Print","Product offering","Digital Printing","UV Print — Digital Printing","Specific print-service offering; present in the local development catalogue.","Not checked — production Firebase access was declined","Not uploaded"
"062","a_clean_promotional_infographic_poster_layout_for.png","Menu Cards","Product offering","Review: Offset Printing or Graphics Design","Menu Cards — Graphics Design; Menu Cards — Offset Printing","menu cards (archive image IDs 037, 062; select/update an existing product rather than creating duplicates); The local catalogue has this name in both categories.","Not checked — production Firebase access was declined","Not uploaded"
"063","a_clean_promotional_infographic_poster_on_a_white.png","Letterheads","Product offering","Offset Printing","Letterheads — Screen Printing; Letterheads — Offset Printing","letterheads (archive image IDs 045, 063; select/update an existing product rather than creating duplicates); The image says Design & Print; local catalogue also has a Screen Printing entry.","Not checked — production Firebase access was declined","Not uploaded"
"064","a_clean_promotional_poster_brochure_style_graphic.png","Catalogues","Product offering","Digital Printing","Catalogues — Digital Printing","","Not checked — production Firebase access was declined","Not uploaded"
"065","a_crisp_high_resolution_front_facing_photo_of_a.png","Storefront / brand signboard photo","Non-product reference image","","","A photo of the business sign and services; keep out of Products and Projects.","N/A","Excluded"
"066","a_detailed_commercial_flyer_ad_poster_layout_image.png","Flyers","Product offering","Review: Graphics Design or Offset Printing","Flyers — Graphics Design","The image says Design & Print; local catalogue has Flyers and Flyers & Leaflets in different categories.","Not checked — production Firebase access was declined","Not uploaded"
"067","a_detailed_polished_commercial_infographic_poster.png","Invitations","Product offering","Graphics Design","Invitations — Graphics Design","","Not checked — production Firebase access was declined","Not uploaded"
"068","a_wide_clean_commercial_infographic_brochure_styl.png","Star Black Back","Product offering","Solvent Flex","Star Black Back — Solvent Flex","star black back (archive image IDs 028, 068; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"069","a_wide_colorful_high_resolution_advertising_post.png","Wedding Cards","Product offering","Offset Printing","Wedding Cards — Screen Printing; Wedding Cards — Offset Printing","wedding cards (archive image IDs 018, 052, 069; select/update an existing product rather than creating duplicates); The image explicitly says Offset Printing.","Not checked — production Firebase access was declined","Not uploaded"
"070","a_wide_promotional_infographic_advertisement_layou.png","Matt Vinyl","Product offering","Solvent Flex","Matt Vinyl — Solvent Flex","matt vinyl (archive image IDs 025, 070; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"071","wide_clean_commercial_infographic_advertisement_p.png","Backlight Printing","Product offering","Solvent Flex","Backlight Printing — Solvent Flex","","Not checked — production Firebase access was declined","Not uploaded"
"072","wide_clean_infographic_style_advertising_poster.png","Star Flex","Product offering","Solvent Flex","Star Flex — Solvent Flex","star flex (archive image IDs 027, 072; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
"073","wide_colorful_commercial_infographic_advertisem.png","Calendars","Product offering","Offset Printing","Calendars — Offset Printing; Calendars — Graphics Design","calendars (archive image IDs 020, 073; select/update an existing product rather than creating duplicates); The image explicitly says Offset Printing.","Not checked — production Firebase access was declined","Not uploaded"
"074","wide_colorful_promotional_poster_flyer_for_busine.png","Business Cards","Product offering","Offset Printing","Business Cards — Offset Printing","","Not checked — production Firebase access was declined","Not uploaded"
"075","wide_commercial_infographic_poster_brochure_styl.png","One Way Vision","Product offering","Solvent Flex","One Way Vision — Solvent Flex","one way vision (archive image IDs 005, 075; select/update an existing product rather than creating duplicates); Alternate image candidate; see matching-title group.","Not checked — production Firebase access was declined","Not uploaded"
